시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
군산시,전라북도,선유도해수욕장 (명사십리 해수욕장),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b79f86e4-ffbb-4f4d-8ddc-95bb2752ceeb,자연,자연관광지,해수욕장,992
김제시,전라북도,미즈노씨네 트리하우스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e90d3d34-5ee8-4614-84c6-ae018ca62e61,음식,음식점,카페/전통찻집,974
전주시 덕진구,전라북도,전주한옥레일바이크,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=97356d18-6eca-4d92-87d6-b0b467a1094f,레포츠,육상 레포츠,트래킹,969
순창군,전라북도,구장군폭포,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aeb125d6-c92a-47b7-8834-3c8d45625101,자연,자연관광지,폭포,900
전주시 완산구,전라북도,전주 남부시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=89fb2c76-9eee-438a-a611-604625c0db82,쇼핑,쇼핑,상설시장,887
무주군,전라북도,국립 덕유산자연휴양림,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1fd33c16-80f0-424e-a5b7-1b9562838089,자연,자연관광지,자연휴양림,881
군산시,전라북도,이성당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=309f5605-5964-4a41-ba18-05a8d3151c17,음식,음식점,카페/전통찻집,881
군산시,전라북도,옥녀교차로 청보리밭,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e98c6be-bf70-4130-9608-a35ac558d987,자연,자연관광지,자연생태관광지,877
임실군,전라북도,임실치즈테마파크,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f23122bc-c578-4c26-97b2-1134ac5b21a2,인문(문화/예술/역사),휴양관광지,테마공원,859
군산시,전라북도,방축도,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8634e7d0-2b12-4622-be85-174dc344cf90,자연,자연관광지,섬,845
군산시,전라북도,군산 시간여행마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=880d0505-8970-4e13-92fb-095ffc6d9a30,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,844
완주군,전라북도,완주 에코 어드벤처,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f4fbcef1-c99b-471a-88a5-4bc9b4bedd95,레포츠,복합 레포츠,복합 레포츠,844
완주군,전라북도,카페캔버스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b7aa1b68-2bd8-4036-810e-5e710628ab84,음식,음식점,카페/전통찻집,833
군산시,전라북도,군산중동호떡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0dc249b3-d9ba-4b3e-aa89-490cd33d229c,음식,음식점,한식,822
익산시,전라북도,나바위 성당(화산천주교회),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=495e52a1-17a8-4ffa-a4cd-723b381a57e6,인문(문화/예술/역사),역사관광지,종교성지,807
부안군,전라북도,변산해안도로 (부안변산해안도로),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fd64d5f5-6310-4ced-aefc-18a19902092a,자연,자연관광지,자연생태관광지,803
임실군,전라북도,임실 대말방죽 숲(가시연꽃 자생지),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ef3fc3d2-a67b-497c-afc7-d824c2000401,자연,자연관광지,산,784
전주시 완산구,전라북도,오목대와 이목대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=214a62d9-ffc9-451f-81e3-fb81a203889b,인문(문화/예술/역사),역사관광지,유적지/사적지,776
남원시,전라북도,남원 아담원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=67e783e8-3248-4aa6-9de9-18b0cebbbacd,자연,자연관광지,수목원,762
완주군,전라북도,오성제 저수지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=85c56147-9cd9-4e2b-9bf7-105d809225ca,자연,자연관광지,자연생태관광지,744
군산시,전라북도,대장도,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9b5c8e48-4c16-4070-a519-76fe80d6da4a,자연,자연관광지,섬,740
남원시,전라북도,남원관광단지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cb1e5bb6-122f-4408-8229-7cccbcfd89a9,인문(문화/예술/역사),휴양관광지,관광단지,733
완주군,전라북도,대아수목원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3ae29b3a-4d27-4936-a496-2474253c6c20,자연,자연관광지,수목원,725
전주시 완산구,전라북도,경기전,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9894d02b-5f1e-411a-b700-762cc2d0ab2b,인문(문화/예술/역사),역사관광지,고궁,720
무주군,전라북도,무주리조트 관광곤도라,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=979ddfb3-cde6-44db-9da9-17b065b35afb,인문(문화/예술/역사),휴양관광지,관광단지,719
부안군,전라북도,적벽강 (전북 서해안 국가지질공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2c243c31-ccdc-4426-a203-62b7c5e3a5bb,자연,자연관광지,자연생태관광지,709
부안군,전라북도,[변산 마실길 2코스] 노루목 상사화길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5266f687-01bc-4422-a05a-32843f5dde30,레포츠,육상 레포츠,트래킹,708
정읍시,전라북도,내장산수목원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=52e7f10b-ec6f-4d4f-b291-d0660b048c14,자연,자연관광지,수목원,708
전주시 완산구,전라북도,전주 풍남문,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cc64522e-4796-44b0-91b2-2816ab8c99bc,인문(문화/예술/역사),역사관광지,문,697
전주시 완산구,전라북도,전주 한옥숙박체험관[한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e2f77f3-bc3b-48eb-a0e9-ce3c0abf33eb,숙박,숙박시설,한옥,696
임실군,전라북도,옥정호(물안개길),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e3b01718-8b42-4884-a62d-c7c00aa0c124,자연,자연관광지,호수,667
완주군,전라북도,대둔산케이블카,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=29ac00f3-4cc1-478c-9c13-d81f7d71b08b,인문(문화/예술/역사),산업관광지,기타,649
무주군,전라북도,라제통문,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5e1230b9-8c43-42ef-9edf-1297a1100ef6,자연,관광자원,기암괴석,628
완주군,전라북도,산속등대 복합문화공간,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=59183cd6-5acc-4c3f-b74e-9c34989c99ca,인문(문화/예술/역사),산업관광지,기타,625
김제시,전라북도,김제 벽골제,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b9fd8a58-2cfa-464b-a678-ca977afe277f,인문(문화/예술/역사),역사관광지,유적지/사적지,621
군산시,전라북도,군산근대역사박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f5ea8592-e85b-43e9-8395-29190eb78906,인문(문화/예술/역사),문화시설,박물관,618
익산시,전라북도,보석박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4e5df93e-fab9-4f5f-8fd9-067ae969b753,인문(문화/예술/역사),문화시설,박물관,616
진안군,전라북도,용담호,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fb0ed61b-5ddc-4383-be93-ee1dbbad917f,자연,자연관광지,호수,616
군산시,전라북도,어청도,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2e46c647-128c-423b-9b60-9f660cbce9df,자연,자연관광지,섬,602
부안군,전라북도,격포해변,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=afcd2060-80a0-4147-91e1-caf48479c4db,자연,자연관광지,해수욕장,596
고창군,전라북도,구시포 해수찜월드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5b986076-5e90-4e20-bd99-2f410aa524b7,인문(문화/예술/역사),휴양관광지,이색찜질방,576
고창군,전라북도,구시포해수욕장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a24fc1c3-b0e1-4653-9a90-c85104c07b42,자연,자연관광지,해수욕장,572
진안군,전라북도,금당사(진안),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=dbedece4-e4c7-473c-88ff-508976dc0907,인문(문화/예술/역사),역사관광지,사찰,562
정읍시,전라북도,내장산 케이블카,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f54f3053-4502-4dbf-b207-56a3e9242404,인문(문화/예술/역사),산업관광지,기타,550
남원시,전라북도,가나안식당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=46d6eefb-efc2-4360-a3e2-65778ce7bbc7,음식,음식점,한식,548
남원시,전라북도,춘향테마파크,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d1d8abe7-87db-43d9-a81e-e9d9547d3f81,자연,자연관광지,자연생태관광지,544
전주시 완산구,전라북도,한국집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e7f92b20-2ad4-4d69-ac03-d8ddc1bd6f7d,음식,음식점,한식,538
